162 74sw
152 78ne
150 84ne
150 88ne
147 78ne
147 82ne
146 80ne
146 86ne
145 88ne
145 82ne
145 86ne
144 86ne
143 80ne
143 90ne
140 82ne
139 88ne
138 70ne
136 22ne
135 86ne
134 80ne
126 36ne
092 21ne
100 42ne
112 52ne
120 79ne
117 72ne
120 79ne
117 72ne
132 74ne
140 54ne
157 76ne
n72e 62nw
n70e 68se
n72e 67se
n74e 82se
n80e 90se
n82e 78se
n81e 82se
n85e 54se
n85e 80se
n85e 86se
n86e 82se
n86e 88se
n87e 78se
n87e 21se
n87e 70se
n88e 90se
n33e 82se
n90e 78se
n90e 72se
98 86sw
97 84sw
96 82sw
92 90sw
110 62sw
102 34sw
102 84sw
n72e 73nw
n29e 76nw
n28e 84nw
n27e 68nw
n30e 80nw
n32e 78nw
n32e 88nw
n32e 84nw
n33e 82nw
n34e 76nw
n34e 80nw
n35e 83nw
n35e 80nw
n35e 82nw
n35e 82nw
n35e 88nw
n38e 76nw
n38e 82nw
n34e 84nw
n39e 88nw
n40e 70nw
n41e 78nw
n44e 84nw
n73e 86nw
n80e 86nw
n82e 80nw
n82e 88nw
n78e 86nw
n83e 88nw
n84e 70nw
n84e 70nw
n84e 78nw
n84e 62nw
n85e 83nw
n84e 88nw
n86e 70nw
n86e 70nw
n86e 80nw
n76e 84nw
n86e 88nw
n76e 84nw
n86e 88nw
n87e 78nw
n87e 84nw
n88e 88nw
n88e 86nw
n90e 86ne
n78e 60nw
n20e 12se
n34e 09se
n54e 10se
n43w 05sw
n44w 06sw
n60e 08se
n18e 22se
n53w 16ne
n43e 15nw
n60w 10ne
n22e 08se
n30w 16sw
n40e 14nw
n30e 12nw
n10e 10nw
n12w 12ne
