Trend;Plunge
84;-48
106;-25
50;0
20;-16
35;-2
9;-59
18;-62
43;9
114;-9
91;2
131;-15
90;-48
95;-10
76;-2
17;-23
22;-4
6;-43
23;-70
30;2
33;-8
78;11
115;-55
101;-22
100;-15
88;-4
13;-25
24;-25
10;-30
24;-6
52;-84
47;11
62;14
75;-62
95;-20
91;-5
94;-11
5;-40
24;-8
25;-9
97;-49
74;-84
45;-74
55;-14
85;-62
90;-17
125;-50
110;-22
10;-26
10;-16
15;-12
53;6
40;-68
37;7
35;9
8;-52
94;-32
109;-36
113;-28
359;-47
4;-33
10;-33
55;4
60;-65
97;6
9;-30
55;-69
128;-57
111;-57
120;-42
28;-8
9;-29
13;-51
67;8
43;14
106;-7
21;-10
119;-45
116;-70
116;-34
43;5
8;-51
32;-74
46;1
130;-51
107;-6
7;-47
